name,city,state,country,workerCount,womenPercentage,engagementProgram,x,y
Ningbo Safewell Safes Mfg. Ltd,Ningbo,Zhejiang,China,0-100,0-25%,NA,121.62,29.862
Dongguan Yaozhi Shoes Corp,Dongguan,Guangdong,China,0-100,26-50%,HERhealth,113.747,23.044
Shivam Impex,Ludhiana,Punjab,India,0-100,0-25%,NA,75.852,30.909
Wenzhou Sanxing Eco-Friendly Packaging Co Ltd,Wenzhou,Zhejiang,China,101-500,51-75%,NA,120.692,27.996
Singapore Dai-Ichi PTE. LTD. (Woodlands Plant),Singapore,NA,Singapore,1001+,0-25%,NA,103.807,1.453
"Suzhou Yaween Textile Products Co., Ltd",Changshu,Jiangsu,China,0-100,51-75%,NA,120.748,31.657
"Wuhu Lixin Cleaning Products Co., Ltd.",Wuhu,Anhui,China,101-500,76-100%,NA,118.428,31.354
M/S Swastik Fabrics & Exporters,Faridabad,Haryana,India,0-100,0-25%,NA,77.309,28.403
Pencil And Stationery Products Mfg. Inc.,Subic Bay Freeport Zone,Batangas,Philippines,0-100,51-75%,NA,120.296,14.829
Lameirinho - Industria Textil SA,Guimarães,Braga,Portugal,501-1000,26-50%,NA,-8.295999,41.442
Ss Paper Convertors,Ghaziabad,Uttar Pradesh,India,0-100,26-50%,NA,77.268,28.783
Hongfujin Precision Ltd (Plastic Resource Application Centre),Shenzhen,Guangdong,China,0-100,26-50%,NA,114.055,22.545
Freewill Sports Pvt Ltd,Jalandhar,Punjab,India,501-1000,,NA,75.577,31.332
"SMK Electronics (Dongguan) Co., Ltd",Dongguan,Guangdong,China,1001+,51-75%,NA,113.747,23.044
"Yuyao City Fuda Electronic Co., Ltd.",Yuyao,Zhejiang,China,101-500,51-75%,NA,121.15,30.039
Tops Products,Union,Missouri,United States,101-500,26-50%,NA,-91.004,38.444
"Shanghai Donnelley Printing Co., Ltd",Shanghai,Shanghai,China,1001+,26-50%,NA,121.489,31.225
Frendi Fashions Pvt Ltd,Chennai,Tamil Nadu,India,101-500,76-100%,NA,80.284,13.08
Elite Screens China Corp.,Shenzhen,Guangdong,China,101-500,26-50%,NA,114.055,22.545
"Bigland Electric Appliance Co., Ltd",Dongguan,Guangdong,China,101-500,51-75%,NA,113.747,23.044
"Zhejiang Xinya Electronic Technology Co., Ltd",Wenzhou,Zhejiang,China,501-1000,51-75%,NA,120.692,27.996
Goertek Inc. (CM),Weifang,Shandong,China,501-1000,26-50%,NA,119.156,36.707
"Dashine Electronics Co., Ltd",Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
TTK Prestige Limited Karjan,Karjan,Gujarat,India,501-1000,0-25%,NA,73.009,21.307
"Shenzhen Comix Stationery Mfy Co., Ltd.",Shenzhen,Guangdong,China,501-1000,26-50%,NA,114.055,22.545
"Desay Battery Co., Ltd.",Huizhou,Guangdong,China,1001+,26-50%,NA,114.414,23.106
Kkp Finelinen Pvt Ltd,Namakkal,Tamil Nadu,India,101-500,51-75%,NA,78.168,11.219
"Quanzhou Pan-Sports Industrial Co., Ltd.",Quanzhou,Fujian,China,0-100,51-75%,NA,118.585,24.904
"Wuxi Jinmao Pet Product Co., Ltd",Wuxi,Jiangsu,China,0-100,51-75%,NA,120.295,31.578
Qidong Linkconn Electronics,Qidong,Jiangsu,China,1001+,26-50%,NA,121.656,31.813
Tongxiang Xinlong Fty,Tongxiang,Zhejiang,China,101-500,51-75%,NA,120.561,30.632
First Quality Consumer Products - King Of Prussia,King of Prussia,Pennsylvania,United States,101-500,,NA,-75.383,40.091
Guoguang Electric Company Limited,Guangzhou,Guangdong,China,1001+,26-50%,NA,113.259,23.13
"PJ Chonburi Parawood Co., Ltd",Banbung,Chonburi,Thailand,101-500,26-50%,NA,101.157,13.199
Hynix Semiconductor Inc. (Cheongju),Seoul,Chungcheongbuk-Do ,South Korea,1001+,0-25%,NA,127.481,36.635
Wanxinda (Guangnzhou) Technology Product Co Ltd,Guangzhou,Guangdong,China,501-1000,51-75%,NA,113.747,23.044
"Shandong Xinyu Knit Co., Ltd.",Haiyang,Shandong,China,101-500,76-100%,NA,121.169,36.688
Intertape Polymer Group - Danville Site,Danville,Virginia,United States,101-500,0-25%,NA,-79.395,36.586
Song Fu Electronics (Shenzhen) Co Ltd.,Shenzhen,Guangdong,China,101-500,51-75%,NA,114.055,22.545
Duc Giang Corporation,Hà Nội,Hà Nội,Vietnam,1001+,76-100%,Better Work,105.891,21.067
