name,city,state,country,workerCount,womenPercentage,engagementProgram,x,y
US Nonwovens,Brentwood,New York,United States,0-100,51-75%,NA,-73.246,40.781
Rockline Industries Inc. ,Sheboygan,Wisconsin,United States,501-1000,26-50%,NA,-87.715,43.751
"Zhejiang Youqiang Industrial Co., Ltd",Jinhua,Zhejiang,China,101-500,26-50%,NA,119.649,29.108
Trendywear Pvt Ltd,Katupotha,North Western Province,Sri Lanka,501-1000,51-75%,NA,80.189,7.534
"Jiangsu Hualing Electrical Technology Co., Ltd",Changzhou,Jiangsu,China,101-500,51-75%,NA,119.969,31.813
Godrej & Boyce Mfg. Co. Ltd,Vadodara,Gujarat,India,101-500,0-25%,NA,73.196,22.297
"Zhejiang Greatstar Industrial Co., Ltd",Jiaxing,Zhejiang,China,101-500,51-75%,NA,120.45,30.452
"Qidong Vision Mounts Manufacturing Co., Ltd ",Qidong,Jiangsu,China,101-500,0-25%,NA,121.656,31.813
PT. Seyang Activewear,Purwakarta,West Java,Indonesia,501-1000,51-75%,Better Work,107.444,-6.561
Fabryka Mebli Meblosiek Sp. Z O.O.,Łódź,NA,Poland,101-500,26-50%,NA,18.197,51.35
Textrade International Ltd,Surat,Gujarat,India,501-1000,26-50%,NA,72.86,21.094
"Ningbo Hanpu Tools Co., Ltd.",Ningbo,Zhejiang,China,501-1000,51-75%,NA,121.62,29.862
"Hirose Electric, Inc. (Tohoku)",Miyako,Iwate,Japan,101-500,26-50%,NA,141.974,39.581
"Dongguan Xuntao Electronic Co., Ltd. (Luxshare Precision)",Dongguan,Guangdong,China,1001+,26-50%,NA,113.747,23.044
Intradesa Plant 8,Ilopango,San Salvador,El Salvador,501-1000,76-100%,NA,-89.118,13.697
"KEMET (Suzhou, China)",Suzhou,Jiangsu,China,501-1000,26-50%,NA,120.734,31.403
Electrospark,Manesar,Haryana,India,101-500,26-50%,NA,76.895,28.375
Ganesh Enterprise (Uttam Kitchenware) ,Rajkot,Gujarat,India,0-100,0-25%,NA,70.802,22.305
"Sky Wing Communication Electronics Co., Ltd",Dongguan,Guangdong,China,101-500,26-50%,HERhealth,113.747,23.044
Long Nan County Top Form Underwear Co. Ltd,Ganzhou,Jiangxi ,China,1001+,76-100%,NA,114.916,25.822
"X.J. Electrics (Shenzhen) Co., Ltd",Shenzhen,Guangdong,China,1001+,26-50%,NA,114.055,22.545
"Guangdong Guanghaida Industrial Co., Ltd",Dongguan,Guangdong,China,101-500,26-50%,NA,113.747,23.044
Zhangjiagang Sunrise Textile Co Ltd,Zhangjiagang,Jiangsu,China,501-1000,51-75%,NA,120.551,31.878
A Mount Inc.,New Taipei City,Taipei,Taiwan,0-100,76-100%,NA,121.411,24.984
Tianjin Sanhuan Lucky New Materials Inc,Tianjin,Tianjin,China,1001+,26-50%,NA,117.693,39.052
Alliance Rubber Company,Hot Springs,Arkansas ,United States,101-500,26-50%,NA,-93.055,34.504
"Zhejiang Sunpoly Knitting Co., Ltd.",Zhuji,Zhejiang,China,101-500,51-75%,NA,120.232,29.716
"Innocor, Inc (West Chicago) ",West Chicago,Illinois,United States,101-500,26-50%,NA,-88.204,41.885
Sealed Air Corporation (Germany),Alsfield,Hesse,Germany,101-500,0-25%,NA,9.271,50.753
Samsung Electronics -Suzhou (S001663),Suzhou,Jiangsu,China,1001+,,NA,120.734,31.403
"Guangdong Guoli Technology Co., Ltd.  ",Dongguan,Guangdong,China,101-500,26-50%,HERhealth,113.747,23.044
"NXP Semiconductors (Tianjin, China)",Tianjin,Tianjin,China,1001+,26-50%,NA,117.198,39.124
Cypress - Philippines Cavite,General Trias,Cavite,Philippines,0-100,26-50%,NA,120.794,14.184
Jiangsu Yungfu Fasion Ltd,Wuxi,Jiangsu,China,501-1000,51-75%,NA,120.295,31.578
"Shunmei Plastic Industry Co., Ltd.",Taizhou,Zhejiang,China,0-100,26-50%,NA,121.416,28.658
Dongguan Tymphany Acoustic Technology Co. Ltd.,Dongguan ,Guangdong,China,1001+,26-50%,NA,113.747,23.044
Vogue Tex (Pvt) Ltd - Bulnewa,Bulnewa,North Central Province,Sri Lanka,501-1000,76-100%,NA,80.444,8.042999
PT. KDS Indonesia,Cikarang Barat,West Java,Indonesia,1001+,0-25%,NA,107.113,-6.299
N G Electro Products Pvt Ltd,Solan,Himachal Pradesh,India,101-500,26-50%,NA,76.833,30.951
Fujian Nashida Electronic  Incorporated Company,Fuzhou,Fujian,China,101-500,76-100%,NA,119.076,26.228
"Guanzhou Bangqi Leather Co, Ltd. ",Guangzhou,Guandong,China,101-500,51-75%,NA,113.181,23.446
Alpha & Omega Semiconductor (Shanghai) Ltd.,Shanghai,Shanghai,China,501-1000,51-75%,NA,121.489,31.225
Bally Exports Pvt Ltd,Kolkata,West Bengal,India,101-500,26-50%,NA,88.348,22.568
Service Industries Limited  ,Muridke,Punjab,Pakistan,501-1000,26-50%,NA,74.189,31.802
"Apricot Furnishings Co., Ltd ",Suzhou,Jiangsu,China,101-500,26-50%,NA,120.734,31.403
Joshjosh Infotech,Tirupur,Tamil Nadu,India,0-100,51-75%,NA,77.347,11.167
Merino Industries Limited,Hosur,Tamil Nadu,India,101-500,0-25%,NA,77.831,12.733
Klaussner Furniture,Asheboro,North Carolina,United States,501-1000,26-50%,NA,-79.814,35.708
Himatsingka Linens,Hassan,Karnataka,India,1001+,26-50%,NA,76.099,13.007
Z&Z Intimates Ltd. ,Chittagong,Chittagong,Bangladesh,1001+,0-25%,NA,91.778,22.29
Xiamen Fdk Corporation,Xiamen,Fujian,China,101-500,51-75%,NA,118.075,24.459
"Jiaxing Xiu Xin Knitting Co., Ltd.",Jiaxing,Zhejiang,China,101-500,76-100%,NA,120.783,30.651
"Dongguan Good Mark New Industrial Co., Ltd.",Dongguan,Guangdong,China,1001+,26-50%,NA,113.747,23.044
Pan Overseas,Panipat,Haryana,India,101-500,0-25%,NA,76.981,29.364
Vyshak Garments,Tirupur,Tamil Nadu,India,0-100,26-50%,NA,77.345,11.102
Merinos Carpet,Şehitkamil,Gaziantep Province,Turkey,1001+,0-25%,NA,37.38,37.08
Kerry Inc - Savannah,Savannah,Georgia,United States,101-500,26-50%,NA,-81.091,32.081
"Yeu Chyuan Industrial Co., Ltd.",Chia Yi County,Chia Yi,Taiwan,101-500,51-75%,NA,120.406,23.435
Rex Enterprise,Sam Phran,Nakhon Pathom,Thailand,101-500,51-75%,NA,100.221,13.719
Nidec Vietnam Corporation,Hồ Chí Minh,Hồ Chí Minh City,Vietnam,1001+,51-75%,NA,106.786,10.856
Industrias Del Interior S. Del R.L.C D E C.V (Georgina),Aguascalientes,Aguascalientes,Mexico,501-1000,0-25%,NA,-102.281,21.833
New Natraj Industries,Vasai,Maharashtra,India,0-100,0-25%,NA,72.872,19.43
Arihant Art Exim (Lariya Art Palace Pvt Ltd),Jodhpur,Rajasthan,India,0-100,0-25%,NA,73.035,26.297
"GD Midea Air Conditioning Equipment Co., Ltd",Foshan,Guangdong,China,1001+,26-50%,NA,113.115,23.025
Life Science Nutritionals (LSN),Acton Vale,Québec,Canada,0-100,51-75%,NA,-72.565,45.647
"Huizhou U&T Electronics Co., Ltd",Huizhou  ,Guangdong,China,101-500,26-50%,NA,114.414,23.106
K&D Technology Co. Ltd. (Bengbu),Bengbu,Anhui,China,101-500,51-75%,NA,117.411,33.104999
"Artisan Industrial Co., Ltd.",Xin-Hui,Guandong,China,101-500,51-75%,NA,113.678,22.636
"Lifeng Manufacturing Co., Ltd",Taizhou,Zhejiang,China,101-500,51-75%,NA,121.416,28.658
Ideas (Jiangxi) Enterprises Ltd,Ganzhou,Jiangxi ,China,101-500,76-100%,NA,114.916,25.822
Crystal S.A.S Sede Marinilla,Marinilla,Antioquia,Colombia,501-1000,26-50%,NA,-75.307,6.178
Dongguan Jiaying Shoes Limited ,Dongguan,Guangdong,China,501-1000,51-75%,NA,113.747,23.044
Bestway (Nantong) Recreation Corp.,Nantong,Jiangsu,China,1001+,51-75%,NA,120.89,31.983
M/S. B K International Pvt. Ltd,Sonipat,Haryana,India,101-500,0-25%,NA,76.932,29.053
Taiyo Yuden (China),Dongguan,Guangdong,China,1001+,51-75%,NA,113.747,23.044
"Ka Fung Industrial Technology (Huizhou) Co., Ltd.",Huizhou,Guandong,China,1001+,26-50%,NA,114.256,23.094
"Interflex Co., Ltd (HQ and Factory)",Asan City,Kyungki-do,South Korea,101-500,26-50%,NA,126.765,37.317
Forte Furniture Products India Private Ltd,Kakkalur,Tamil Nadu,India,101-500,0-25%,NA,79.909,13.144
Xiamen Sheep Anti-Fatigue Mat Co. Ltd,Xiamen,Fujian,China,0-100,26-50%,NA,118.075,24.459
SCA Hygiene Products GmbH  ,Stembert,Verviers Liège,Belgium,101-500,26-50%,NA,5.895,50.593
Georgia-Pacific Palatka Mill,Palatka,Florida,United States,501-1000,0-25%,NA,-81.637,29.649
Eternity Infosystem Pvt. Ltd. ,New Delhi,Delhi,India,0-100,0-25%,NA,77.312,28.64
Tryshoera India Pvt. Ltd.,Noida,Uttar Pradesh,India,101-500,26-50%,NA,77.355,28.573
"Believe Zone Co., Ltd",Kim Thành,Hải Dương,Vietnam,0-100,51-75%,NA,106.51,20.963
"Golden A&A Textile (Shanghai) Co, Ltd",Shanghai,Shanghai,China,0-100,76-100%,NA,121.279,30.929
Global Garments Ltd,Chittagong,Chittagong,Bangladesh,1001+,51-75%,Better Work,91.882,22.395
"Nanan Shi South Asia Computerized Knitwear Co., Ltd.",Quanzhou,Fujian,China,1001+,51-75%,NA,118.323,24.941
Dongguan Zhanxin Knitwear Co Ltd,Dongguan,Guangdong,China,101-500,76-100%,NA,113.747,23.044
"Knowles Electronics (Suzhou) Co., Ltd - Jiangsu",Suzhou,Jiangsu,China,101-500,0-25%,NA,120.734,31.403
Textile World ,Panipat,Haryana,India,101-500,0-25%,NA,76.977,29.391
Art Palace Export Pvt. Ltd.,Bhadohi,Uttar Pradesh,India,0-100,0-25%,NA,82.488,25.423
"Poong In Vina Co., Ltd",Tân Uyên,Bình Dương,Vietnam,0-100,76-100%,Better Work,106.603,10.821
"Marian (Shenzhen) Co., Ltd.",Shenzhen,Guangdong,China,501-1000,26-50%,NA,114.055,22.545
Karigar Niryat Pvt Ltd,Noida,Uttar Pradesh,India,101-500,0-25%,NA,77.355,28.573
M/S Sagar Asia Private Limited – Ladder Division ,Medak dist,Telangana,India,0-100,0-25%,NA,78.481,17.713
MDI SDN. BHD.,Johor Bahru,Johor,Malaysia,1001+,51-75%,NA,103.745,1.518
"Smartrac Technology (Guangzhou) Co., Ltd.",Guangzhou,Guangdong,China,0-100,51-75%,NA,113.259,23.13
Quanzhou Haihong Garment Ltd ,Quanzhou,Fujian,China,101-500,51-75%,NA,118.585,24.904
Zhangjiagang Chuangye Apparel Co.,Zhangjiagang,Jiangsu,China,101-500,51-75%,NA,120.551,31.878
"Arcadia Design Lighting Co., Ltd",Dongguan,Guangdong,China,0-100,76-100%,NA,113.747,23.044
"Idemia (Shenzhen) Co., Ltd.",Shenzhen,Guangdong,China,501-1000,26-50%,NA,114.055,22.545
"Ningbo Dongrun Mining Co., Ltd",Yuyao,Zhejiang,China,101-500,51-75%,NA,121.15,30.039
"Vina Kyungseung Trading Co., Ltd ",Phú Thọ,Phú Thọ,Vietnam,1001+,76-100%,"Better Work, HERheatlh",105.243,21.383
"Vietnam Housewares Co., Ltd.",Thuận An,Bình Dương,Vietnam,101-500,26-50%,NA,106.699,10.904
Loctek Ergonomic Technology Corp,Ningbo,Zhejiang,China,501-1000,26-50%,NA,121.62,29.862
PT. Nesia Pan Pacific Knit,Kabupaten Semarang,Central Java,Indonesia,1001+,76-100%,Better Work,110.424,-6.974
Brandix Apparel Solution Ltd - Polonnaruwa,Polonnaruwa,North Central Province,Sri Lanka,1001+,76-100%,NA,81.017,7.949
TXC Corporation,Tao Yuan City,Taoyuan,Taiwan,101-500,76-100%,NA,121.301,24.996
"Poong In Vina 4 Co., Ltd",Thuận An,Bình Dương,Vietnam,501-1000,76-100%,Better Work,106.699,10.904
"Anqi Household Articles Co., Limited",Dongguan,Guangdong,China,101-500,26-50%,NA,113.747,23.044
Brandix Apparel Solutions Ltd - Essentials,Koggala,Southern Province,Sri Lanka,1001+,76-100%,NA,80.332,5.986
Hop Lun Apparel Ltd. ,Gazipur,Dhaka,Bangladesh,1001+,76-100%,NA,90.423,23.998
Zhejiang Botai Furniture Co. Ltd.,Huzhou,Zhejiang,China,501-1000,51-75%,NA,119.675,30.638
Zen Linen International Pvt Ltd - Sri City,Sri City,Andhra Pradesh,India,101-500,76-100%,HERhealth,79.991,13.536
Cosmosupplylab Ltd,Dongguan,Guangdong,China,1001+,51-75%,NA,113.635,23.262
First Quality Tissue - Lock Haven,Lock Haven,Pennsylvania,United States,501-1000,0-25%,NA,-77.447,41.137
"Jin Jiang Xinya Sports Goods Co., Ltd",Quanzhou,Fujian,China,0-100,26-50%,NA,118.548,24.784
"CSI Medical, Inc",Gallatin,Tennessee,United States,0-100,51-75%,NA,-86.448,36.388
"Zhongshan Camry Electronic Co., Ltd",Zhongshan,Guangdong,China,501-1000,51-75%,NA,113.366,22.521
Gardner Pet Group Inc.,West Bend,Wisconsin,United States,0-100,26-50%,NA,-88.183,43.425
Everblue Apparel Ltd (A Group Of Raymond Uco),Bangalore,Karnataka,India,1001+,76-100%,NA,77.591,12.979
Vision Foam Ind Sdn. Bhd. ,Sungai Buloh,Selangor,Malaysia,0-100,0-25%,NA,101.597,3.205
"Torex Vietnam Semiconductor Co., Ltd",Thủ Dầu Một,Bình Dương,Vietnam,101-500,51-75%,NA,106.654,10.981
BYD Precision manufacture company limited,Shenzhen,Guangdong,China,1001+,0-25%,NA,114.055,22.545
Panasonic Electric Works Connector Division (Ise),Watarai,Mie,Japan,501-1000,26-50%,NA,136.55,34.381
Zhejiang Xile Industry & Trading Co. Ltd,Huangyan,Zhejiang,China,0-100,51-75%,NA,121.258,28.653
Santuk Tekstil San. Ve Tic. A.S.,Istanbul,Istanbul Province,Turkey,501-1000,0-25%,NA,28.804,41.141
Ameriwood ,Dowagiac,Michigan,United States,101-500,0-25%,NA,-86.109,41.984
The Smead Manufacturing Company ,Reynosa,Tamaulipas,Mexico,101-500,51-75%,NA,-98.342,26.146
"Zhejiang Tianpai Knitting Co., Ltd",Yiwu,Zhejiang,China,501-1000,51-75%,NA,120.07,29.306
CT Micro,Xiamen,Fujian,China,101-500,26-50%,NA,118.075,24.459
Refresco - Columbus,Columbus,Georgia,United States,0-100,0-25%,NA,-84.988,32.461
International Vitamin Corporation (IVP),Greenville,South Carolina,United States,101-500,26-50%,NA,-82.398,34.851
Panasonic Energy Corporation Of America,Columbus,Georgia,United States,101-500,26-50%,NA,-84.988,32.461
"Elegant Fashion (Yudu) Co., Ltd.",Ganzhou,Jiangxi ,China,0-100,51-75%,NA,114.916,25.822
"Fortune Grand Technology,  Inc. (ForGrand DongGuan)",Dongguan,Guangdong,China,501-1000,26-50%,NA,113.747,23.044
"He Fong Enterprise Co., Ltd ",Phnom Penh,Phnom Penh,Cambodia,101-500,51-75%,Better Work,104.878,11.576
Decofloor India,Panipat,Haryana,India,0-100,0-25%,NA,76.977,29.391
Truly Opto-Electronics Limited (Shanwei City),Shanwei ,Guangdong ,China,1001+,26-50%,HERhealth,115.372,22.789
"Sams & Rudia, S.A.",Guatemala City,NA,Guatemala,101-500,26-50%,NA,-90.575,14.647
"Flexium Interconnect (Kunshan), Inc.",Kunshan,Jiangsu,China,1001+,26-50%,NA,120.976,31.387
"Hefei Hengxin Environmental Science And Technology Co., Ltd.",Hefei,Anhui,China,101-500,51-75%,NA,117.278,31.968
Intradesa Main Building,Soyapango,San Salvador,El Salvador,1001+,76-100%,NA,-89.14,13.71
"Shenzhen Huntkey Eletronic Co., Ltd.",Shenzhen,Guangdong,China,501-1000,26-50%,NA,114.055,22.545
"Perfect Group Corp., Ltd",Yangzhou,Jiangsu,China,501-1000,26-50%,NA,119.437,32.393
Goldtex Garments Limited,Dhaka,Dhaka,Bangladesh,1001+,26-50%,HERhealth,90.272,23.94
Dongguan Fu Link Garment Limited,Dongguan,Guangdong,China,0-100,51-75%,NA,113.747,23.044
Stefanel Top Fashions Ltd,Campulung,Arges,Romania,0-100,76-100%,NA,25.011,45.241
Liteon Electronics (GuangZhou) Limited,Guangzhou,Guangdong,China,501-1000,26-50%,NA,113.259,23.13
"Beifa Group Co., Ltd",Ningbo,Zhejiang,China,1001+,51-75%,NA,121.62,29.862
"Zhejiang Jaslight Luggage And Bags Manufacturing Co., Ltd",Jiaxing,Zhejiang,China,1001+,26-50%,NA,121.012,30.678
A. R. Industries,Kala Amb,Himachal Pradesh,India,101-500,0-25%,NA,77.236,30.518
Infineon Technologies,Wuxi,Jiangsu,China,1001+,51-75%,NA,120.295,31.578
"Ningbo Yongxin Optics Co., Ltd.",Ningbo,Zhejiang,China,101-500,26-50%,NA,121.62,29.862
Vogue Export,Jaipur,Rajasthan,India,0-100,0-25%,NA,75.82,26.916
Dongguan Cha Shan Wing Luen Knitting Factory,Dongguan,Guangdong,China,101-500,51-75%,HERhealth,113.747,23.044
Philips Lighting Poland Sp. Z O.O.,Pila,NA,Poland,101-500,51-75%,NA,16.777,53.164
Kai Buo Shoes Inc ,Dongguan,Guangdong,China,101-500,51-75%,NA,113.747,23.044
Tripod Technology Corporation (Wu-Xi City),Wuxi,Jiangsu,China,1001+,26-50%,NA,120.295,31.578
"Lec, Inc. Susono Factory",Susono-Shi,Shizuoka,Japan,0-100,26-50%,NA,138.876,35.227
"Zhangzhou Xym Furniture Products Co., Ltd",Zhangzhou,Fujian,China,1001+,26-50%,NA,117.409,24.406
"Hinen Electronics (Shenzhen) Co., Ltd",Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
Delta Inductor,Dongguan,Guangdong,China,1001+,26-50%,NA,113.747,23.044
"Midea Kitchen Appliances Manufacturing Co., Ltd.",Foshan,Guangdong,China,1001+,51-75%,NA,113.201,22.931
"Zhuhai Coslight Battery Co., Ltd",Zhuhai,Guangdong,China,1001+,26-50%,NA,113.931,21.975
"Fuqing Huatai Shoes Co., Ltd",Fuqing,Fujian,China,101-500,51-75%,NA,119.38,25.724
Nanocomp Oy Ltd,Lehmo,NA,Finland,0-100,0-25%,NA,29.797,62.677
"Dongguan Yongsheng Footwear Co., Ltd",Dongguan,Guangdong,China,101-500,0-25%,NA,113.747,23.044
"Zhongshan Xingyao Lighting Co., Ltd.",Zhongshan,Guangdong,China,0-100,26-50%,NA,113.366,22.521
Viet Panpacific Nam Dinh Company Limited  ,Nam Trực,Nam Định,Vietnam,501-1000,76-100%,Better Work,106.172,20.297
PT. Sam Kyung Jaya Garments,Kabupaten Semarang,Central Java,Indonesia,1001+,76-100%,Better Work,110.424,-6.974
Stellar Precision Manufacturing Ltd.,Yangjiang,Guangdong,China,101-500,51-75%,NA,111.751,22.049
"Dongguan Fuqiang Electronics Co., Ltd.",Dongguan,Guangdong,China,101-500,26-50%,NA,113.747,23.044
"Xiangzhao Metal Wares Co., Ltd",Foshan,Guangdong,China,101-500,51-75%,NA,113.115,23.025
"Zhejiang Henglin Chair Industry Co, Ltd.",Huzhou,Zhejiang,China,1001+,26-50%,NA,119.677,30.654
Wai Kin Home Fashion (Huizhou) Company Limited,Huizhou,Guandong,China,501-1000,51-75%,NA,114.256,23.094
"RWM Technologies, LLC ",Chattanooga,Tennessee,United States,0-100,51-75%,NA,-85.31,35.046
Perfection Beauty Brands Limited - Packaging,Sandbach,England,United Kingdom,0-100,76-100%,NA,-2.395,53.145
S.Duraisamy And Sons,Tirupur,Tamil Nadu,India,0-100,0-25%,NA,77.347,11.167
"Ningbo Deli School Supply And Stationery Co., Ltd",Ningbo,Zhejiang,China,1001+,51-75%,NA,121.62,29.862
"Kunshan Kersen Science & Technology Co., Ltd.",Kunshan,Jiangsu,China,1001+,76-100%,NA,120.976,31.387
Iovate Health Sciences International Inc.,Lawrenceville,Georgia,United States,0-100,26-50%,NA,-83.988,33.956
"Shanghai Xinfeng Garment Co., Ltd ",Shanghai,Shanghai,China,101-500,76-100%,NA,121.489,31.225
Marius&Mady Confex Srl,Campulung,Arges,Romania,0-100,76-100%,NA,25.011,45.241
Lens Technology (Changsha) Co. Ltd,Changsha,Hunan,China,1001+,51-75%,NA,112.971,28.198
"Victory Giant Technology (Huizhou) Co., LTD.",Huizhou,Guangdong,China,1001+,26-50%,NA,114.414,23.106
K.L. Mahajan & Sons,Meerut,Uttar Pradesh,India,101-500,51-75%,NA,77.651,28.925
Sheena Industries,Panipat,Haryana,India,0-100,0-25%,NA,76.977,29.391
Hafizia Art & Crafts Pvt. Ltd,Sitapur,Uttar Pradesh,India,101-500,26-50%,NA,80.682,27.627
"Ningbo Klite Electric Manufacture Co., Ltd.",Ningbo,Zhejiang,China,1001+,51-75%,NA,121.62,29.862
Gama Textile Madagascar Sarl,West Anosizato,Antananarivo,Madagascar,1001+,51-75%,NA,47.5,-18.938
Vikram Carpets,Mirzapur,Uttar Pradesh,India,0-100,0-25%,NA,82.626,25.101
Panasonic Japan  ,Tsuyama-shi ,Okayama,Japan,501-1000,76-100%,NA,134.042,35.055
Zhongshan Bao Feng Knitting Company Limited,Zhongshan,Guangdong,China,101-500,51-75%,NA,113.366,22.521
"Changtai Campvalley Leisure Products Co., Ltd ",Zhangzhou,Fujian,China,501-1000,51-75%,NA,117.409,24.406
"Huzhou Tianyuan Pet Products Co., Ltd",Huzhou,Zhejiang,China,101-500,26-50%,NA,120.085,30.894
"Jiangsu Sunsportive Clothing Co., Ltd",Huai’an,Jiangsu,China,101-500,76-100%,NA,119.021,33.59
Dragonwind M.F.G Ltd.,Sangkat Steong Mean Chey,Phnom Penh,Cambodia,501-1000,76-100%,NA,104.893,11.537
Santa Cruz Nutritionals,Santa Cruz,California,United States,101-500,26-50%,NA,-122.029,36.975
"Shenzhen O-Film Tech. Co., Ltd. (Nanchang)",Nanchang,Jiangxi,China,1001+,51-75%,NA,115.889,28.679
Bhalaria Metal Craft Pvt Ltd ,Umbergaon,Gujarat,India,501-1000,0-25%,NA,72.869,20.132
"Honor Faith Leather, Leather Top Co., ltd",Yangju-si  ,Gyeonggi-do,South Korea,0-100,0-25%,NA,126.996,37.807
Unichela (Pvt) Ltd,Kalutara,Western Province,Sri Lanka,1001+,76-100%,NA,79.907,6.712
"JiangsSu Zhong Heng Pet Articles Joint-Stock Co., Ltd",Yancheng,Jiangsu,China,501-1000,51-75%,NA,120.135,33.394
"Color Star (Fuzhou) Products Co., Ltd. ",Fuzhou,Fujian,China,1001+,51-75%,NA,119.292,26.077
"Taizhou Bolvda Crafts Co., Ltd",Taizhou,Zhejiang,China,0-100,51-75%,NA,121.142,28.86
Double A,Amphur Sri Maha Phote,Prachinburi,Thailand,1001+,26-50%,NA,101.584,13.925
Fama Sofas Slu,Yecla,Murcia,Spain,101-500,26-50%,NA,-1.116,38.614
"ForBetter New Material Solutions  Co., Ltd.",Dongguan,Guangdong,China,1001+,26-50%,NA,113.747,23.044
Designa Inc.,Foshan,Guangdong,China,501-1000,26-50%,NA,113.115,23.025
My Home Collections Pvt. Ltd.,Noida,Uttar Pradesh,India,0-100,0-25%,NA,77.355,28.573
Multi-Fineline Electronix Inc.,Suzhou,Jiangsu,China,501-1000,51-75%,NA,120.734,31.403
"Dongguan Rubtop Metals Rubber Co., Ltd (Guangdong Factory)",Dongguan,Guangdong,China,101-500,51-75%,NA,113.747,23.044
Iswarya Knit Fabs,Tirupur,Tamil Nadu,India,101-500,0-25%,NA,77.347,11.167
Mibelle AG,Buchs,Aargau,Switzerland,101-500,51-75%,NA,8.069,47.391
Primacy Industries Limited - Unit 2,Mangaluru,Karnataka,India,101-500,51-75%,NA,74.843,12.87
"Irisohyama, Inc.",Kakuda,"Miyagi, Osakakami Osaka",Japan,101-500,0-25%,NA,140.773,37.984
"Acoustic Innovation (Huizhou) Co., Ltd",Huizhou,Guangdong,China,1001+,76-100%,NA,114.414,23.106
Alok Industries Limited ,Silvassa,Dadra and Nagar Haveli,India,501-1000,26-50%,NA,73.005,20.274
Unichela (Pvt) Ltd – Vidiyal Division ,Kilinochchi,Northern Province,Sri Lanka,1001+,76-100%,NA,80.409,9.384
Lotus Household Products,Mumbai,Maharashtra,India,0-100,26-50%,NA,72.835,18.939
Nantong Golden Yuelai Gym Equipment Co. Ltd,Nantong,Jiangsu,China,0-100,51-75%,NA,121.177,31.873
Aquarelle Madagascar SA.,Tanjombato,Antananarivo,Madagascar,501-1000,51-75%,NA,47.528,-18.958
"Shenzhen K&D Technology Co.,Ltd.",Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
The Smead Manufacturing Company ,Logan,Ohio,United States,101-500,51-75%,NA,-83.741,40.443
Antop,Shenzhen,Guangdong,China,1001+,26-50%,NA,114.055,22.545
Mosay International Private Limited,Kolkata,West Bengal,India,0-100,0-25%,NA,88.348,22.568
Fippi Spa,Rho,Lombardia,Italy,101-500,0-25%,NA,9.04,45.529
Choi Shin Nicaragua S.A ,Jinotepe,Carazo,Nicaragua,501-1000,51-75%,NA,-86.269,11.671
Captek Softgel International,Cerritos,California,United States,101-500,26-50%,NA,-118.054,33.864
Betco Corporation,Bowling Green,Ohio,United States,0-100,26-50%,NA,-83.651,41.375
"Mutualtek Industries Co., Ltd. - Changshu",Changshu,Jiangsu,China,501-1000,26-50%,NA,120.748,31.657
Kyocera Shiga Yohkaichi Plant,Higashiohmi-shi ,Shiga,Japan,0-100,0-25%,NA,136.276,35.112
Master Hill Electric Wire & Cable Ltd,Shenzhen,Guangdong,China,1001+,51-75%,NA,114.055,22.545
"Sichuan Changhong New Energy Technology Co., Ltd",Mianyang,Sichuan,China,101-500,26-50%,NA,104.75,31.459
"Quadrille Vietnam Co., Ltd",Biên Hoà,Đồng Nai,Vietnam,501-1000,76-100%,Better Work,106.892,10.914
Valueone,Bucheon-Si,Gyeonggi-do,South Korea,0-100,76-100%,NA,126.778,37.515
Yangxin Nourison Textile Co Ltd,Binzhou,Shandong,China,101-500,51-75%,NA,118.017,37.367
"Suzhou Everything Industrial Co., Ltd",Suzhou,Jiangsu,China,0-100,26-50%,NA,120.734,31.403
Stovekraft Pvt Ltd,Bengaluru,Karnataka,India,101-500,51-75%,HERhealth,77.591,12.979
Innolux Corp. (Taiwan),Tainan City,Tainan,Taiwan,1001+,0-25%,NA,120.282,23.101
Indo Count Industries Limited,Kolhapur,Maharashtra,India,1001+,0-25%,NA,74.421,16.748
"Rising Power Footwear Co., Ltd",Dongguan,Guangdong,China,101-500,26-50%,NA,113.747,23.044
Indigo White Tekstil Konfeksiyon P. S. Ve Dis Tic. A.S.,Istanbul,Istanbul Province,Turkey,101-500,26-50%,NA,28.625,41.07
"Tymphany Acoustic Technology (Huizhou) Co,.Ltd",Huizhou  ,Guangdong,China,1001+,26-50%,NA,114.414,23.106
"Ningbo Goodfriends Electric Appliance Co., Ltd",Ningbo,Zhejiang,China,501-1000,51-75%,NA,121.62,29.862
Brandix Apparel Solutions Limited - Essentials,Nivithigala,Sabaragamuwa Province,Sri Lanka,1001+,76-100%,NA,80.45,6.62
U Play,Wuhu,Anhui,China,101-500,26-50%,NA,118.428,31.354
"Global Furniture (Zhejiang) Co., Ltd.",Huzhou,Zhejiang,China,1001+,26-50%,NA,119.688,30.632
"Zhejaing Seniorwear Co., Ltd",Zhejiang,Zhejiang,China,101-500,76-100%,NA,121.416,28.658
"Yangzhou Changqingshu Sports Goods Co., Ltd.",Yangzhou,Jiangsu,China,0-100,76-100%,NA,119.437,32.393
Georgia-Pacific Darlington Plant,Darlington,South Carolina,United States,101-500,26-50%,NA,-79.876,34.3
"Innocor East, LLC",Baldwyn,Mississippi,United States,101-500,26-50%,NA,-88.635,34.51
